Team,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Wins
Bananas,107.14,113.46,70.38,76.52,70.36,83.02,105.84,5
Brian's Team,104.5,96.15,104.26,114.88,112.5,115.54,116.14,5
Bronx Bombers,113.94,138.68,121.56,134.66,96.44,89.68,79.66,5
Couch potatoes,84.94,60.78,70.26,77.14,130.58,116.18,105.24,2
Dak to the Future,127.64,105.72,69.06,85.88,94.92,81.96,111.98,2
Dirty Landry,101.44,87.42,144,102.96,88.56,84.4,96.96,2
FUBU,114.12,69.2,89.14,103.34,123.26,62.52,80.04,3
Fumblers,80.46,88.02,119.8,95.72,107.26,78.36,98.14,4
Gronkey Kong,109.9,90.86,75.28,92.6,111,67.26,89.72,4
High on Gordon,130.08,117.78,109.82,87.3,135.64,133.48,95.58,5
Hingle McCringle,97.92,109.32,118.84,82.78,89.5,107.4,67.68,2
I'veMadeAHugeMistake,98.86,142.84,110.3,96.12,93.88,104.1,59.52,4
jim's Standout Team,104.6,87.58,129.64,75.26,73.58,109.58,114.12,3
Let IT Ride,102.16,99.96,111.46,95.86,58.68,98.8,57.8,1
NC Giants,99.78,93.02,91.2,73.74,45.36,65.52,97.84,1
Saved by Odell,93.86,102.56,93.54,115.62,129.2,108.32,116.34,4
Stafford & Son,139.56,159.12,80.28,96.1,77.2,111.58,154.58,4
STL Rams... Oh Wait,122.44,119.64,126.24,98.54,123.46,113.36,107.82,5
The Angry Sloths,73.32,94.06,98.92,120.46,96.72,73.5,77.3,4
Tom Brady's Lawyer,135.6,98.4,109,146.22,101,109.1,94.84,5
