Team,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Wins
Gotta Catch Jamaal!,117.9,137.7,107.5,134.8,129.1,119.5,97,93.5,4
WINTER IS NEVER COMING,117.8,114.2,148.3,81.8,105.3,122.6,76.8,79.9,2
Fae Cthae,134.7,132.6,111.3,117.4,126.8,82.5,116,98.4,3
DeandreSSSS Hopkin,121,129,166.9,101.4,117.6,129.8,139.2,125.5,5
The Life of Julio,118.7,110.4,98.5,137.3,86.6,109.2,152.1,127.7,5
Flacco's  Favorite,99.5,114.1,173.7,113.5,87,110,110.5,122.8,4
G - Lit,101.4,83.1,125.5,124.9,96.8,130,81.2,124.1,4
Last Manning Standin,136.4,140.7,128.4,91.3,126.8,104.5,125,141.8,6
>Fortune Favors The Bold,160,103.7,115.1,98.7,115.9,123,138.2,106,3
>Taniquetil Eagles,161.2,128.6,100,146.5,154.7,121.5,141.4,120.7,6
>Team  Suckerpunch,98.7,121.4,112.5,117.4,141.8,163.2,94.5,55.2,4
>Do You Even Lift?,98.7,92.6,108,100.2,86.3,79.3,48.5,107.3,2
