Team,Week1,Week2,Week3,Week4,week5,week6,7,8,9,
columbia moonshiners,146.6,121.1,138.3,130.7,100.6,59.2,133.4,165.3,144.3,3
saving kelce,125.4,128.9,139.7,113.4,112.8,140.7,155.1,129.1,116.8,4
team conley,138.2,80.9,139.3,119.9,59.5,161.6,116.2,66,122.6,3
gurley gates,113.8,95.5,142.5,98.5,134.6,134.6,129.2,100.9,121.3,4
abusement park,125.2,128.8,133.9,129.2,98.9,114.6,115.5,102.4,141.7,2
team fleming,127.3,96.6,95.6,108.1,182.7,90.1,105.5,117.5,86,3
overachieving bench,192.2,156.2,115.1,126.6,157.8,109.5,175.8,157.7,186.2,5
sir isaac scam newton,142.4,146.3,107.4,139.1,173.4,170.3,102.5,174.1,136.2,5
team mann,143.2,145.6,104.5,116.3,141.3,129.5,155.1,123.6,112.5,2
team tiny squirts,118.5,133.3,124.5,124.3,155.7,129.3,125.5,78.6,147.3,2
_offensive odors,117.6,134.7,137.7,99.9,47.5,91.4,82.5,124.6,31.9,2
And I was like …,131.9,113.6,110.7,111,117.9,96.6,118.6,102.6,106.6,1
columbia moonshiners,,,807.9128458,924.26426,1003.427426,981.275125,,,,
saving kelce,,,785.5862523,886.7257811,983.8258574,1125.809394,,,,
team conley,,,704.9087488,811.2599289,848.1932676,1033.488587,,,,
gurley gates,,,695.0082537,780.8219874,956.0027832,1088.857191,,,,
abusement park,,,774.36218,908.1356572,975.175755,1071.096167,,,,
team fleming,,,631.8041138,723.5852849,989.288499,1100.682985,,,,
overachieving bench,,,916.3809646,980.6904072,1142.359764,1217.543515,,,,
sir isaac scam newton,,,785.2999902,923.8253766,1124.357798,1360.273073,,,,
team mann,,,779.1170868,871.028004,1009.432495,1159.029239,,,,
team tiny squirts,,,750.0761307,881.1731962,1058.012546,1192.821725,,,,
_offensive odors,,,776.452866,857.737358,813.9527933,918.5012044,,,,
And I was like …,,,708.2829154,799.7796845,922.8208758,1019.876424,,,,
